Time,Sender_account,Receiver_account,Amount,Is_laundering,Laundering_type,Days_Since_Start,Year,Month,Day,Payment_type_Cash Deposit,Payment_type_Cash Withdrawal,Payment_type_Cheque,Payment_type_Credit card,Payment_type_Cross-border,Payment_type_Debit card,Sender_Info,Receiver_Info
45145,2765290784,5905337797,1918.77,1,Deposit-Send,178,2023,4,3,True,False,False,False,False,False,France - US dollar,India - Dirham
58774,5594972698,8694554099,10382.6,1,Fan_Out,233,2023,5,28,False,False,False,True,False,False,France - US dollar,India - Dirham
45767,1437921699,4374215596,3178.8173233822595,1,Scatter-Gather,209,2023,5,4,False,False,False,False,True,False,Austria - US dollar,India - Dirham
36228,3895306575,4810948357,1366.43,1,Smurfing,12,2022,10,19,True,False,False,False,False,False,France - US dollar,India - Dirham
42466,8177256263,7731207103,4880.59,1,Layered_Fan_In,168,2023,3,24,False,False,False,True,False,False,France - US dollar,India - Dirham
34927,7754688015,6508082375,18921.48936985754,1,Cycle,295,2023,7,29,False,False,False,False,True,False,Austria - Euro,India - Dirham
38725,8078880434,5644818249,4237.97,1,Layered_Fan_Out,3,2022,10,10,False,False,True,False,False,False,France - US dollar,India - Dirham
35067,2091046669,3765744005,2791.32,1,Smurfing,304,2023,8,7,True,False,False,False,False,False,France - US dollar,India - Dirham
55752,4422249566,4492679555,7792.8,1,Stacked Bipartite,77,2022,12,23,False,False,False,False,True,False,Albania - US dollar,India - Dirham
44906,8603438385,6730092851,194.8,1,Cash_Withdrawal,181,2023,4,6,False,True,False,False,False,False,France - US dollar,Austria - Pakistani rupee
52497,7785732621,3790148325,4027.02,1,Structuring,39,2022,11,15,False,False,True,False,False,False,France - US dollar,India - Dirham
61692,7921895726,7767842999,7265.08,1,Scatter-Gather,261,2023,6,25,False,False,False,True,False,False,France - US dollar,India - Dirham
62134,6310279383,6560543332,4167.46,1,Structuring,277,2023,7,11,False,False,False,True,False,False,France - US dollar,India - Dirham
30928,6855720762,8201057754,6983.16,1,Stacked Bipartite,1,2022,10,8,False,False,False,False,False,False,France - US dollar,India - Dirham
85019,2502236532,8411717171,11364.92,1,Fan_In,106,2023,1,21,False,False,False,False,False,True,France - US dollar,India - Dirham
36624,5104637800,7782575115,140.88,1,Cash_Withdrawal,304,2023,8,7,False,True,False,False,False,False,France - US dollar,Austria - Pakistani rupee
40172,9562274039,7342137409,10087.91,1,Deposit-Send,127,2023,2,11,False,False,False,False,False,False,France - US dollar,India - Dirham
50333,6215520259,5440639315,7907.822792918535,1,Layered_Fan_Out,36,2022,11,12,False,False,True,False,False,False,France - US dollar,Germany - Mexican Peso
85739,6329646233,4186147934,11868.15,1,Stacked Bipartite,193,2023,4,18,False,False,True,False,False,False,France - US dollar,India - Dirham
53767,9910313856,6123421761,6064.6,1,Structuring,102,2023,1,17,False,False,False,False,False,False,France - US dollar,India - Dirham
84855,9813440508,2026382742,9377.3,1,Deposit-Send,274,2023,7,8,False,False,False,False,False,False,France - US dollar,India - Dirham
47335,4014118871,6891942599,36042.86,1,Layered_Fan_In,216,2023,5,11,False,False,False,False,False,False,France - US dollar,India - Dirham
36651,1004291387,6347954845,1741.53,1,Behavioural_Change_2,231,2023,5,26,False,False,False,False,True,False,France - US dollar,France - UK pounds
26660,3837607024,1496694897,4228.71,1,Smurfing,166,2023,3,22,True,False,False,False,False,False,France - US dollar,India - Dirham
34085,9266814294,9926135884,73.17,1,Cash_Withdrawal,211,2023,5,6,False,True,False,False,False,False,France - US dollar,Germany - Euro
65429,5804990951,5077259356,1791531.2,1,Over-Invoicing,47,2022,11,23,False,False,False,False,False,True,France - US dollar,India - Dirham
79096,2576673846,6766509105,24949.24,1,Fan_In,203,2023,4,28,False,False,False,False,False,False,France - US dollar,India - Dirham
57382,1424693007,2692927449,5264.03,1,Behavioural_Change_2,14,2022,10,21,False,False,False,False,True,False,France - US dollar,France - Pakistani rupee
47810,4569841157,5158891884,3689.5,1,Behavioural_Change_2,262,2023,6,26,False,False,False,False,True,False,France - US dollar,France - Pakistani rupee
76357,2403117844,1265983749,9132.59,1,Gather-Scatter,186,2023,4,11,False,False,True,False,False,False,France - US dollar,India - Dirham
22566,8609663241,2311552997,3748.72,1,Structuring,313,2023,8,16,False,False,False,False,True,False,France - US dollar,France - Mexican Peso
1791,4610869511,4349270455,288.47,1,Cash_Withdrawal,279,2023,7,13,False,True,False,False,False,False,France - US dollar,Germany - Euro
18802,7306244678,2342891122,9307.12,1,Stacked Bipartite,33,2022,11,9,False,False,True,False,False,False,France - US dollar,Germany - UK pounds
81996,750737722,7859972869,11097.06,1,Structuring,150,2023,3,6,False,False,False,True,False,False,France - US dollar,India - Dirham
49348,7754711202,4345836865,1219.86,1,Smurfing,73,2022,12,19,True,False,False,False,False,False,France - US dollar,India - Dirham
57151,7350260408,4095917483,145.72,1,Cash_Withdrawal,307,2023,8,10,False,True,False,False,False,False,France - US dollar,India - Dirham
38348,8958207582,4465839311,294.77,1,Cash_Withdrawal,197,2023,4,22,False,True,False,False,False,False,France - US dollar,India - Dirham
63159,4063617528,2129555726,20083.81,1,Gather-Scatter,142,2023,2,26,False,False,False,False,False,False,France - US dollar,India - Indian rupee
80092,5255228519,8702761939,10903.05,1,Structuring,94,2023,1,9,False,False,False,False,True,False,France - US dollar,Albania - Naira
30622,1503500920,2225320089,11246.17,1,Bipartite,161,2023,3,17,False,False,False,False,False,True,France - US dollar,India - Dirham
56457,2820805407,1873312167,146.7,1,Cash_Withdrawal,30,2022,11,6,False,True,False,False,False,False,France - US dollar,Germany - Euro
57100,7458970576,5049305340,7263.287070562254,1,Scatter-Gather,183,2023,4,8,False,False,False,False,True,False,France - US dollar,France - Pakistani rupee
66385,5535911422,9989176693,20151.57,1,Stacked Bipartite,308,2023,8,11,False,False,False,False,False,True,France - US dollar,India - Dirham
17704,2127789419,3677158722,7958.177102605872,1,Layered_Fan_Out,261,2023,6,25,False,False,False,False,True,False,France - Turkish lira,Albania - Mexican Peso
78207,4929013413,1142779963,5934.05,1,Structuring,210,2023,5,5,False,False,False,False,True,False,France - US dollar,Austria - US dollar
39442,2366716701,7951108994,3287.1,1,Structuring,150,2023,3,6,False,False,False,False,False,False,France - US dollar,India - Dirham
38093,5102301300,1909875660,105.18,1,Cash_Withdrawal,64,2022,12,10,False,True,False,False,False,False,France - US dollar,India - Dirham
60043,8185097615,4306436131,1140.23,1,Smurfing,195,2023,4,20,True,False,False,False,False,False,France - US dollar,India - Dirham
81010,4112229788,9289662479,5189.53,1,Gather-Scatter,279,2023,7,13,False,False,True,False,False,False,France - US dollar,Germany - Yen
40686,5931070343,6644790956,4050.55,1,Structuring,1,2022,10,8,False,False,False,True,False,False,France - US dollar,India - Dirham
57852,3215318479,6855482173,3132.04,1,Smurfing,312,2023,8,15,True,False,False,False,False,False,France - US dollar,India - Dirham
65659,7905216304,3173291888,5202.84,1,Structuring,66,2022,12,12,False,False,False,False,True,False,France - US dollar,Albania - Albanian lek
29876,8665243891,3140946181,2758.26,1,Structuring,212,2023,5,7,False,False,False,False,False,True,France - US dollar,India - Dirham
55028,3177801471,3062645467,207.97,1,Cash_Withdrawal,267,2023,7,1,False,True,False,False,False,False,France - US dollar,India - Dirham
35882,8225742576,2880634067,41392.1,1,Gather-Scatter,301,2023,8,4,False,False,False,False,True,False,France - US dollar,Albania - US dollar
74851,686676613,6891942599,6213.5,1,Layered_Fan_In,214,2023,5,9,False,False,False,False,False,False,France - US dollar,India - Dirham
60412,4254045660,2412223098,8191.848238232069,1,Scatter-Gather,7,2022,10,14,False,False,False,False,False,True,France - US dollar,India - Dirham
14596,958394302,5725385692,161.5,1,Cash_Withdrawal,288,2023,7,22,False,True,False,False,False,False,France - US dollar,India - Dirham
82833,2733277823,8193184390,9943.36,1,Deposit-Send,145,2023,3,1,True,False,False,False,False,False,France - US dollar,India - Dirham
2511,8722719854,9897570092,21451.12,1,Single_large,160,2023,3,16,False,False,False,False,True,False,France - US dollar,Germany - Euro
24679,6340007440,4316483340,331.41,1,Cash_Withdrawal,1,2022,10,8,False,True,False,False,False,False,France - US dollar,Albania - UK pounds
74843,6774418588,7573268480,3659.094918890653,1,Layered_Fan_Out,294,2023,7,28,False,False,False,True,False,False,France - US dollar,Germany - Yen
45551,4167240366,3544715458,8686.53,1,Layered_Fan_Out,56,2022,12,2,False,False,False,False,False,False,France - US dollar,India - Dirham
39623,3151610517,2389467192,8160.03,1,Bipartite,182,2023,4,7,False,False,False,False,False,False,France - Turkish lira,India - Dirham
60227,5579295130,3458591049,5836.2,1,Behavioural_Change_1,181,2023,4,6,False,False,True,False,False,False,France - US dollar,India - Dirham
65372,4014118871,661993141,8295.52,1,Layered_Fan_In,222,2023,5,17,False,False,False,False,False,True,France - US dollar,India - Dirham
75950,7561166790,297508985,7886.68,1,Structuring,248,2023,6,12,False,False,False,False,True,False,Austria - Albanian lek,India - Dirham
83570,9613007465,4550948935,4716.17,1,Deposit-Send,51,2022,11,27,True,False,False,False,False,False,France - US dollar,India - Dirham
38949,2014993158,5049305340,5148.665922682328,1,Scatter-Gather,179,2023,4,4,False,False,False,False,True,False,France - US dollar,France - Pakistani rupee
48764,4114041356,1940500748,2232.58,1,Smurfing,161,2023,3,17,True,False,False,False,False,False,France - US dollar,India - Dirham
83651,4792499106,8878987296,5709.06,1,Structuring,209,2023,5,4,False,False,False,False,False,True,France - US dollar,India - Dirham
30025,8456982432,2073937889,6420.82,1,Layered_Fan_In,124,2023,2,8,False,False,False,False,True,False,France - US dollar,Austria - US dollar
6194,4002781583,1454832431,11357.87018655912,1,Stacked Bipartite,116,2023,1,31,False,False,False,False,False,False,France - UK pounds,India - Dirham
30285,1747507720,2216722436,4995.31,1,Gather-Scatter,264,2023,6,28,False,False,False,False,True,False,France - US dollar,France - Mexican Peso
9199,2644079201,6776851779,57445.419881500085,1,Layered_Fan_In,122,2023,2,6,False,False,False,False,False,True,France - US dollar,India - Dirham
34202,1195937560,4633675830,5732.35,1,Layered_Fan_In,257,2023,6,21,False,False,False,False,False,False,France - US dollar,India - Dirham
43996,7263384547,5794331781,4486.16,1,Deposit-Send,65,2022,12,11,False,False,False,False,True,False,France - US dollar,France - UK pounds
74082,7255947810,13527377,6151.31,1,Stacked Bipartite,282,2023,7,16,False,False,False,False,False,True,France - US dollar,India - Dirham
49849,9516532340,7861022135,2974.39,1,Structuring,70,2022,12,16,False,False,False,False,True,False,Albania - Dirham,India - Dirham
32021,4464729965,5815782674,3192.65,1,Smurfing,229,2023,5,24,True,False,False,False,False,False,France - US dollar,India - Dirham
42254,7142373177,1128410016,7381.99,1,Layered_Fan_In,142,2023,2,26,False,False,False,False,False,True,France - US dollar,India - Dirham
34127,3919593175,194129147,4599.56,1,Structuring,67,2022,12,13,False,False,False,False,True,False,France - US dollar,France - Dirham
46766,2926253452,8221342594,5075.89,1,Layered_Fan_In,312,2023,8,15,False,False,False,False,True,False,France - US dollar,India - Moroccan dirham
56305,4349889566,9101431692,8060.57,1,Structuring,286,2023,7,20,False,False,False,False,True,False,France - US dollar,France - UK pounds
43670,4159678387,270405806,329.13,1,Cash_Withdrawal,151,2023,3,7,False,True,False,False,False,False,France - US dollar,India - Dirham
36990,7742453632,7000518720,6820.04,1,Stacked Bipartite,259,2023,6,23,False,False,False,False,False,True,France - US dollar,India - Dirham
49248,9862053017,2264961913,4340.85,1,Smurfing,56,2022,12,2,True,False,False,False,False,False,France - US dollar,India - Dirham
48185,9501681099,330310031,100.81,1,Cash_Withdrawal,46,2022,11,22,False,True,False,False,False,False,France - US dollar,India - Dirham
53878,3837607024,1496694897,4551.92,1,Smurfing,167,2023,3,23,True,False,False,False,False,False,France - US dollar,India - Dirham
46678,545209394,9380493823,4240.15,1,Deposit-Send,166,2023,3,22,True,False,False,False,False,False,France - US dollar,India - Dirham
67797,8254182561,5108529656,2198.16,1,Deposit-Send,157,2023,3,13,True,False,False,False,False,False,France - US dollar,India - Dirham
84738,9854342695,6891062860,7131.13,1,Deposit-Send,229,2023,5,24,True,False,False,False,False,False,France - US dollar,India - Dirham
72489,5122331855,7504051506,8432.22,1,Layered_Fan_In,76,2022,12,22,False,False,False,False,False,True,France - US dollar,India - Dirham
63479,7930003813,1499913828,59989.4,1,Single_large,189,2023,4,14,False,False,True,False,False,False,France - US dollar,India - Dirham
31545,5649129207,5929867889,10267422.68,1,Over-Invoicing,245,2023,6,9,False,False,True,False,False,False,France - US dollar,India - Dirham
31910,9186785530,6123421761,4406.11,1,Structuring,9,2022,10,16,False,False,False,True,False,False,France - US dollar,India - Dirham
76648,1031446921,3786036768,274.52,1,Cash_Withdrawal,271,2023,7,5,False,True,False,False,False,False,France - US dollar,India - Dirham
30951,4270943700,7604402185,6595.86,1,Stacked Bipartite,317,2023,8,20,False,False,False,True,False,False,France - UK pounds,India - Dirham
49730,548291061,2173814957,28419.93842441995,1,Cycle,300,2023,8,3,False,False,False,False,False,True,France - US dollar,India - Dirham
14641,5940903135,3885112922,39821.62560168216,1,Cycle,293,2023,7,27,False,False,True,False,False,False,France - US dollar,India - Dirham
34645,1067704948,2058371508,11258.94,1,Fan_In,21,2022,10,28,False,False,False,False,False,False,France - Moroccan dirham,India - Dirham
32842,1016471824,6123421761,2537.95,1,Structuring,70,2022,12,16,False,False,True,False,False,False,France - US dollar,Germany - Moroccan dirham
53946,818830460,63528476,1400.07,1,Behavioural_Change_1,50,2022,11,26,False,False,False,True,False,False,France - US dollar,India - Dirham
19971,7296432625,5588112676,8784.293283284562,1,Stacked Bipartite,60,2022,12,6,False,False,False,False,False,False,France - US dollar,India - Dirham
68895,485398087,5057760337,88.9,1,Cash_Withdrawal,135,2023,2,19,False,True,False,False,False,False,France - US dollar,India - Dirham
46095,7587963408,6810330634,191231.33,1,Single_large,304,2023,8,7,False,False,False,False,False,False,France - US dollar,India - Dirham
78779,4748215798,7748494288,7662.79,1,Structuring,97,2023,1,12,False,False,False,False,True,False,France - Swiss franc,India - Moroccan dirham
64340,6033593163,7333484725,6625.11,1,Layered_Fan_In,267,2023,7,1,False,False,False,False,False,False,France - US dollar,India - Dirham
46311,9020538304,5201185567,5863.38,1,Structuring,187,2023,4,12,False,False,False,True,False,False,France - US dollar,India - Dirham
25773,5061870134,2477514279,3725.0,1,Deposit-Send,223,2023,5,18,True,False,False,False,False,False,France - US dollar,India - Dirham
75923,9107206798,459201377,2193.31,1,Structuring,2,2022,10,9,False,False,False,False,True,False,Austria - Turkish lira,Germany - Pakistani rupee
70470,8457217575,9543913683,4692.7,1,Structuring,15,2022,10,22,False,False,True,False,False,False,France - US dollar,India - Dirham
81712,2128500197,4183306960,7401.973441399834,1,Layered_Fan_Out,81,2022,12,27,False,False,False,True,False,False,France - US dollar,India - Dirham
78989,3639419963,4606428466,10441.88,1,Layered_Fan_In,259,2023,6,23,False,False,False,True,False,False,France - US dollar,India - Dirham
1709,1600149721,2098207133,70.23,1,Cash_Withdrawal,106,2023,1,21,False,True,False,False,False,False,France - US dollar,France - Pakistani rupee
41904,5085812584,7558440499,27349.12701232975,1,Cycle,231,2023,5,26,False,False,False,False,True,False,France - US dollar,Albania - Yen
46283,2073718140,8131228129,3219.12,1,Structuring,293,2023,7,27,False,False,False,False,True,False,France - US dollar,France - Swiss franc
58234,6570150734,6766509105,9075.32,1,Fan_In,203,2023,4,28,False,False,False,True,False,False,France - US dollar,Germany - Moroccan dirham
81976,4989175563,1265983749,3519.71,1,Gather-Scatter,194,2023,4,19,False,False,True,False,False,False,France - US dollar,India - Dirham
57710,8039556217,6237866068,371.86,1,Behavioural_Change_2,223,2023,5,18,False,False,False,False,True,False,France - US dollar,Germany - Euro
77554,6611982598,9210556116,12720.48,1,Layered_Fan_In,49,2022,11,25,False,False,False,False,True,False,France - US dollar,France - US dollar
71130,2843630248,2052901594,3815.749635314845,1,Layered_Fan_Out,27,2022,11,3,False,False,False,True,False,False,France - US dollar,India - Dirham
61290,6390944871,3213443371,7021.63,1,Structuring,319,2023,8,22,False,False,False,False,True,False,France - US dollar,Austria - Naira
64418,1147093613,1665774528,2850.79,1,Structuring,38,2022,11,14,False,False,False,False,True,False,Albania - Swiss franc,India - Dirham
32679,2690636195,434351836,7272.52,1,Structuring,309,2023,8,12,False,False,False,False,True,False,Austria - Mexican Peso,India - Dirham
47649,6469356325,3001717656,8680.05,1,Gather-Scatter,11,2022,10,18,False,False,True,False,False,False,France - US dollar,India - Dirham
47238,476800554,9899077221,2227.73,1,Deposit-Send,30,2022,11,6,False,False,False,False,True,False,France - US dollar,Albania - Mexican Peso
56121,3728704733,2432879658,4754.82,1,Structuring,145,2023,3,1,False,False,False,True,False,False,France - US dollar,India - Dirham
42087,6543072915,4364823709,2893.76,1,Smurfing,251,2023,6,15,True,False,False,False,False,False,France - US dollar,India - Dirham
75312,6860797177,5129661746,92.51,1,Cash_Withdrawal,14,2022,10,21,False,True,False,False,False,False,France - US dollar,India - Dirham
35574,9634559331,8020264563,2913.86,1,Smurfing,278,2023,7,12,True,False,False,False,False,False,France - US dollar,India - Dirham
42270,751634423,1521569576,7861.615218278233,1,Stacked Bipartite,107,2023,1,22,False,False,False,False,False,True,France - US dollar,India - Dirham
73332,8352414724,4039513981,21541.82,1,Deposit-Send,94,2023,1,9,False,False,False,False,True,False,France - US dollar,Albania - Euro
84582,5862382386,187354041,6978.72,1,Stacked Bipartite,68,2022,12,14,False,False,False,True,False,False,Austria - Euro,Austria - US dollar
84757,6654412700,434351836,7356.88,1,Structuring,8,2022,10,15,False,False,False,False,False,True,France - US dollar,India - Dirham
49923,8537288551,2655675972,4798.65,1,Behavioural_Change_2,19,2022,10,26,False,False,False,False,True,False,France - US dollar,Austria - US dollar
8769,1574021353,4007288126,4117.57,1,Structuring,132,2023,2,16,False,False,False,False,False,False,France - US dollar,India - Dirham
74949,3082045053,1703644108,14160.67,1,Deposit-Send,280,2023,7,14,True,False,False,False,False,False,France - US dollar,India - Dirham
22816,1278425401,4884203204,4683.21,1,Deposit-Send,243,2023,6,7,False,False,False,False,True,False,France - US dollar,France - Pakistani rupee
84222,7253035220,6942486323,6262.032537685429,1,Layered_Fan_Out,75,2022,12,21,False,False,False,False,False,False,France - US dollar,India - Dirham
35977,8072995409,1639700944,14767.76,1,Gather-Scatter,269,2023,7,3,False,False,False,False,False,False,France - US dollar,India - Dirham
83632,8856680971,7248487713,245.15,1,Cash_Withdrawal,105,2023,1,20,False,True,False,False,False,False,France - US dollar,India - Dirham
77858,9330449479,1407059664,328.99,1,Cash_Withdrawal,277,2023,7,11,False,True,False,False,False,False,France - US dollar,India - Dirham
69782,5707449439,4886077062,4736.73,1,Stacked Bipartite,168,2023,3,24,False,False,False,True,False,False,France - US dollar,India - Dirham
40674,7882533260,3658714253,18234.67,1,Scatter-Gather,314,2023,8,17,False,False,False,False,False,True,France - US dollar,India - Dirham
39399,6176090086,2183684435,5316.23,1,Fan_Out,167,2023,3,23,False,False,False,False,False,False,France - US dollar,India - Dirham
76632,4914066735,3257677918,8389.20434954865,1,Cycle,214,2023,5,9,False,False,False,False,False,True,France - US dollar,India - Dirham
84218,6583382196,3790148325,7859.03,1,Structuring,249,2023,6,13,False,False,False,False,False,True,France - US dollar,India - Dirham
39692,7535537199,4701344767,43933.71528172186,1,Layered_Fan_In,136,2023,2,20,False,False,False,False,False,False,France - US dollar,India - Dirham
48640,8883712210,434351836,7099.47,1,Structuring,15,2022,10,22,False,False,False,False,False,False,France - US dollar,India - Dirham
75004,2466462258,8193184390,15061.48,1,Deposit-Send,291,2023,7,25,True,False,False,False,False,False,France - US dollar,India - Dirham
79785,4248778605,3462866043,21229.5,1,Bipartite,280,2023,7,14,False,False,True,False,False,False,France - US dollar,Germany - Moroccan dirham
51904,6771036247,8529417538,13199.38,1,Stacked Bipartite,18,2022,10,25,False,False,False,False,False,True,France - US dollar,India - Dirham
49681,3630468038,387881423,2643.46,1,Smurfing,249,2023,6,13,True,False,False,False,False,False,France - US dollar,India - Dirham
24200,6176090086,4778339537,11033.16,1,Fan_Out,164,2023,3,20,False,False,False,True,False,False,France - US dollar,India - Dirham
63199,2698296913,9311138020,1302.75,1,Smurfing,222,2023,5,17,True,False,False,False,False,False,France - US dollar,India - Dirham
30515,6837507008,2531548770,5815.9,1,Structuring,3,2022,10,10,False,False,False,False,True,False,France - US dollar,Albania - Albanian lek
64352,7535898383,6335995470,3218.91576097054,1,Cycle,65,2022,12,11,False,False,False,False,False,False,France - US dollar,India - Dirham
69937,5469723863,7767695442,1380.05,1,Behavioural_Change_2,231,2023,5,26,False,False,False,False,True,False,France - US dollar,Austria - US dollar
23753,3243896688,2179044177,8209.99,1,Layered_Fan_In,44,2022,11,20,False,False,False,False,False,True,France - US dollar,India - Dirham
64208,9425466492,9849218542,24068.87,1,Fan_In,258,2023,6,22,False,False,False,False,True,False,France - US dollar,Austria - Pakistani rupee
39835,317533459,8411717171,3423.08,1,Fan_In,109,2023,1,24,False,False,True,False,False,False,France - US dollar,India - Dirham
50215,755395995,5201185567,7276.58,1,Structuring,304,2023,8,7,False,False,False,True,False,False,France - US dollar,India - Dirham
70839,8958207582,4465839311,163.02,1,Cash_Withdrawal,127,2023,2,11,False,True,False,False,False,False,France - US dollar,India - Dirham
71439,391920879,5709569908,4702.36,1,Structuring,131,2023,2,15,False,False,False,True,False,False,France - US dollar,India - Dirham
78606,7057555049,4145614637,34230.93,1,Single_large,22,2022,10,29,False,False,False,True,False,False,France - US dollar,India - Dirham
33345,3111101078,7535520218,4226.1,1,Structuring,137,2023,2,21,False,False,False,False,False,False,France - US dollar,India - Indian rupee
47807,5469235956,9126684178,3197.82,1,Smurfing,221,2023,5,16,True,False,False,False,False,False,France - US dollar,India - Dirham
40201,3360680583,5030100545,2962.45,1,Deposit-Send,200,2023,4,25,True,False,False,False,False,False,France - US dollar,India - Dirham
12867,7973448027,8391201653,207.46,1,Cash_Withdrawal,318,2023,8,21,False,True,False,False,False,False,France - US dollar,Austria - US dollar
82054,6962402203,3008426224,1641.76,1,Deposit-Send,176,2023,4,1,False,False,False,False,True,False,France - US dollar,Germany - Dirham
54919,9678311627,4604350890,73.64,1,Cash_Withdrawal,3,2022,10,10,False,True,False,False,False,False,France - US dollar,India - Dirham
42867,4503049074,2817594182,2326.79,1,Smurfing,168,2023,3,24,True,False,False,False,False,False,France - US dollar,India - Dirham
72220,8147674863,2103997961,6262.01,1,Fan_Out,244,2023,6,8,False,False,False,False,False,True,France - US dollar,India - Dirham
74744,5474532275,4497771501,5944.96,1,Structuring,281,2023,7,15,False,False,False,False,True,False,France - US dollar,France - Pakistani rupee
71335,8194857383,3770025609,3052.7,1,Structuring,190,2023,4,15,False,False,False,False,False,False,France - US dollar,Germany - Yen
59916,5337319812,4650116053,4666.05,1,Structuring,104,2023,1,19,False,False,False,False,True,False,Albania - Turkish lira,India - Dirham
48074,9869834897,1060911749,580659.6,1,Single_large,159,2023,3,15,False,False,True,False,False,False,France - US dollar,India - Dirham
40124,4803642115,7106200562,2907.02,1,Behavioural_Change_1,78,2022,12,24,False,False,False,False,True,False,France - US dollar,France - UK pounds
63808,8197072010,2935036107,1423.33,1,Behavioural_Change_2,27,2022,11,3,False,False,False,False,True,False,France - US dollar,Germany - Dirham
598,9798451258,1798830580,33649.88,1,Stacked Bipartite,298,2023,8,1,False,False,False,False,False,False,France - US dollar,India - Dirham
3581,2173814957,5268396252,25788.0074176424,1,Cycle,302,2023,8,5,False,False,False,False,False,False,France - US dollar,India - Dirham
52998,8185097615,4306436131,2916.61,1,Smurfing,194,2023,4,19,True,False,False,False,False,False,France - US dollar,India - Dirham
85112,2516582544,4398402159,16832.96,1,Fan_In,176,2023,4,1,False,False,True,False,False,False,France - US dollar,India - Euro
57773,4625263625,9403128746,9999.17,1,Fan_In,82,2022,12,28,False,False,False,False,False,True,France - US dollar,Germany - Pakistani rupee
56077,5932891635,2327949023,7561.26,1,Structuring,3,2022,10,10,False,False,False,False,False,False,France - US dollar,India - Dirham
56241,3722911464,9493840183,7607.9541330988195,1,Layered_Fan_Out,63,2022,12,9,False,False,True,False,False,False,France - Swiss franc,India - Dirham
32023,2207144112,7969506584,3514.18,1,Behavioural_Change_2,260,2023,6,24,False,False,False,False,True,False,France - US dollar,Albania - Albanian lek
70698,6874790878,9304462035,148.05,1,Cash_Withdrawal,274,2023,7,8,False,True,False,False,False,False,France - US dollar,India - Dirham
23001,3207479262,9517922369,3410.01,1,Structuring,189,2023,4,14,False,False,False,False,False,True,France - US dollar,India - Dirham
85400,1992087353,3140946181,2964.92,1,Structuring,43,2022,11,19,False,False,False,False,False,True,France - US dollar,India - Dirham
57728,9910661531,7417834229,8100.791132799943,1,Cycle,145,2023,3,1,False,False,True,False,False,False,France - US dollar,India - Dirham
81550,5917350547,4806160754,7975.47,1,Fan_Out,41,2022,11,17,False,False,False,False,True,False,Austria - Moroccan dirham,India - Dirham
